alarm_id,category,code,description,message,system
PS0075,OT,0075,"An attempt was made to register a program whose number was protected. In program matching, the password for the encoded program was not correct. An attempt was made to select a program being edited in the background as the main program. An attempt was made to call a program being edited in the background as a subprogram.",PROTECT,FANUC
PS0136,SP,0136,"AXIS - OTHER AXIS SAME TIME T The M code for spindle positioning and an axis address not for a spindle positioning axis were specified simultaneously. Alternatively, the axis addresses of a spindle positioning axis and non-spindle positioning axis were specified simultaneously in the spindle positioning mode.",SPOS,FANUC
PS0139,OT,0139,CHANGE PMC CONTROL AXIS The PMC axis was selected for the axis for which the PMC axis is being controlled.,CANNOT,FANUC
PS0154,OT,0154,"USING TOOL IN LIFE GROUP The H99 command, D99 command, or the H/D code set by parameters Nos. 13265 and 13266 was specified when no tool belonging to a group is used.",NOT,FANUC
PS0194,SP,0194,"COMMAND IN SYNCHRO-MODE T A Cs contour control mode, spindle positioning command, or rigid tapping mode was specified during the spindle synchronous control mode. M A Cs contour control mode or rigid tapping mode was specified during the spindle synchronous control mode or simple spindle synchronous control mode.",SPINDLE,FANUC
PS0218,OT,0218,"FOUND P/Q COMMAND T P or Q is not commanded in the G51.2 block, or the command value is out of the range. Modify the program. For a polygon turning between spindles, more information as to why this alarm occurred is indicated in DGN No. 471.",NOT,FANUC
PS1961,OT,1961,READY (MEMORY CARD) The memory card is not ready.,NOT,FANUC
PS1964,OT,1964,MOUNTED (MEMORY CARD) The memory card could not be mounted.,NOT,FANUC
PS0415,OT,0415,VALUE OVERFLOW The velocity exceeding the travel velocity limit was commanded. B-64305EN/03 APPENDIX A.ALARM LIST SV,MOTION,FANUC
PS0430,SV,0430,OVERHEAT The servo motor has overheated. SV,SV MOTOR,FANUC
PS0453,SP,0453,"SOFT DISCONNECT ALARM Software disconnection alarm of the α Pulsecoder. Turn off the power to the CNC, then remove and insert the Pulsecoder cable. If this alarm is issued again, replace the Pulsecoder. SV",SPC,FANUC
PS0752,SP,0752,"MODE CHANGE ERROR This alarm is generated if the system does not properly terminate a mode change. The modes include the Cs contour control, spindle positioning (T series), rigid tapping, and spindle control modes. The alarm is activated if the spindle control unit does not respond correctly to the mode change command issued by the NC. SP",SPINDLE,FANUC
PS1220,SP,1220,"AMP. Either the cable connected to a serial spindle amplifier is broken, or the serial spindle amplifier is not connected. SP",NO SPINDLE,FANUC
PS1231,SP,1231,EXCESS ERROR (MOVING) The position deviation during spindle rotation was greater than the value set in parameters. SP,SPINDLE,FANUC
PS1232,SP,1232,EXCESS ERROR (STOP) The position deviation during spindle stop was greater than the value set in parameters. SP,SPINDLE,FANUC
PS1244,OT,1244,VALUE OVERFLOW The amount of distribution to a spindle is too much SP,MOTION,FANUC
PS1988,SP,1988,CONTROL ERROR An error occurred in the spindle control software. SP,SPINDLE,FANUC
PS1989,SP,1989,CONTROL ERROR An error occurred in the spindle control software. B-64305EN/03 APPENDIX A.ALARM LIST SP,SPINDLE,FANUC
PS1998,SP,1998,CONTROL ERROR An error occurred in the spindle control software. SP,SPINDLE,FANUC
PS1999,SP,1999,CONTROL ERROR An error occurred in the spindle control software. Refer to A.3 for SP9001 or later. (10) Overheat alarms (OH alarm) OH,SPINDLE,FANUC
PS0059,SP,0059,"NUMBER NOT FOUND [External data I/O] The No. specified for a program No. or sequence No. search could not be found. There was an I/O request issued for offset (tool data), but either no tool numbers have been input since power ON or there is no data for the entered tool No. [External workpiece No. search] The program corresponding to the specified workpiece No. could not be found. DS",SPECIFIED,FANUC
PS9073,OT,9073,SENSOR DISCONNECTED 73 1 Replace the feedback cable. 2 Check the shield processing. 3 Check and correct the connection. 4 Adjust the sensor. The motor sensor feedback signal is not present (connector JYA2). SP,MOTOR,FANUC
PS9082,OT,9082,MOTOR SENSOR 82 1 Replace the feedback cable. 2 Adjust the sensor. The one-rotation signal of the motor sensor is not generated(connector JYA2). SP,NO 1-ROT,FANUC
PS9083,OT,9083,SENSOR SIGNAL ERROR 83 1 Replace the feedback cable. 2 Adjust the sensor. An irregularity was detected in a motor sensor feedback signal(connector JYA2). SP,MOTOR,FANUC
PS9084,SP,9084,SENSOR DISCONNECTED 84 1 Replace the feedback cable. 2 Check the shield processing. 3 Check and correct the connection. 4 Check and correct the parameter. 5 Adjust the sensor. The spindle sensor feedback signal is not present(connector JYA4). SP9085 1-ROT SPNDL SENSOR ERROR 85 1 Check and correct the parameter. 2 Replace the feedback cable. 3 Adjust the sensor. The one-rotation signal of the spindle sensor cannot be correctly detected(connector JYA4). SP,SPNDL,FANUC
PS9086,OT,9086,SPNDL SENSOR 86 1 Replace the feedback cable. 2 Adjust the sensor. The one-rotation signal of the spindle sensor is not generated(connector JYA4). SP,NO 1-ROT,FANUC
PS9087,SP,9087,SENSOR SIGNAL ERROR 87 1 Replace the feedback cable. 2 Adjust the sensor. An irregularity was detected in a spindle sensor feedback signal(connector JYA4). SP,SPNDL,FANUC
PS0001,CNC,0001,A TH error was detected during reading from an input device. The read code that caused the TH error and how many statements it is from the block can be verified in the diagnostics screen.,TH ERROR,FANUC
PS0002,CNC,0002,An error was detected during the single–block TV error. The TV check can be suppressed by setting TVC parameter No. 0000#0 to “0”.,TV ERROR,FANUC
PS0003,CNC,0003,MANY DIGIT Data entered with more digits than permitted in the NC instruction word. The number of permissible digits varies according to the function and the word.,TOO,FANUC
PS0004,CNC,0004,"NOT FOUND NC word(s) address + numerical value not in word format. This alarm is also generated when a custom macro does not contain a reserved word, or does not conform to the syntax. A.ALARM LIST APPENDIX B-64305EN/03",ADDRESS,FANUC
PS0005,CNC,0005,"AFTER ADDRESS NC word(s) address + numerical value not in word format. This alarm is also generated when a custom macro does not contain a reserved word, or does not conform to the syntax.",NO DATA,FANUC
PS0006,CNC,0006,USE OF MINUS SIGN A minus sign (–) was specified at an NC instruction word or system variable where no minus signal may be specified.,ILLEGAL,FANUC
PS0007,CNC,0007,"USE OF DECIMAL POINT A decimal poi nt (.) was specified at an address where no decimal point may be specified, or two decimal points were specified.",ILLEGAL,FANUC
PS0009,CNC,0009,"NC-ADDRESS An illegal address was specified, or parameter 1020 is not set.",IMPROPER,FANUC
PS0010,CNC,0010,G-CODE An unusable G code is specified.,IMPROPER,FANUC
PS0011,CNC,0011,ZERO ( COMMAND ) The cutting feedrate instructed by an F code has been set to 0. This alarm is also generated if the F code instructed for the S code is set extremely small in a rigid tapping instruction as the tool cannot cut at the programmed lead.,FEED,FANUC
PS0015,CNC,0015,MANY SIMULTANEOUS AXES A move comm and was specified for more axes than can be controlled by simultaneous axis control. Either divide the number of programmed move axes into two blocks.,TOO,FANUC
PS0020,CNC,0020,"TOLERANCE OF RADIUS An arc was specif ied for which the difference in the radius at the start and end points exceeds the value set in parameter No. 3410. Check arc center codes I, J and K in the program. The tool path when parameter No. 3410 is set to a large value is spiral.",OVER,FANUC
PS0021,CNC,0021,"PLANE SELECT The plane selection instructions G17 to G19 are in error. Reprogram so that same 3 basic parallel axes are not specified simultaneously. This alarm is also generated when an axis that should not be specified for plane machining is specified, for example, for circular interpolation. T In the 0i -TD, the helical interpolation option is needed to enable the specification of 3 or more axes for the G02/G03 block.",ILLEGAL,FANUC
PS0022,CNC,0022,"I,J,K COMMAND NOT FOUND The command for ci rcular interpolation lacks arc radius R or coordinate I, J, or K of the distance between the start point to the center of the arc.",R OR,FANUC
PS0025,CNC,0025,"CUT IN RAPID (F0) M F0 (rapid traverse in one-digit F code feed or inverse feed) was specified during circular interpolation (G02, G03).",CIRCLE,FANUC
PS0027,CNC,0027,COMMANDED IN G43/G44 M No axis is specified in G43 and G44 blocks for the tool length offset type C. Offset is not canceled but another axis is offset for the tool length offset type C. Multiple axes were specified for the same block when the tool length compensation type is C. B-64305EN/03 APPENDIX A.ALARM LIST,NO AXES,FANUC
PS0028,CNC,0028,"PLANE SELECT The plane selection instructions G17 to G19 are in error. Reprogram so that same 3 basic parallel axes are not specified simultaneously. This alarm is also generated when an axis that should not be specified for plane machining is specified, for example, for circular interpolation. T In the 0i -TD, the helical interpolation option is needed to enable the specification of 3 or more axes for the G02/G03 block.",ILLEGAL,FANUC
PS0029,CNC,0029,OFFSET VALUE Illegal offset No.,ILLEGAL,FANUC
PS0030,CNC,0030,OFFSET NUMBER An illegal offset No. was specified.,ILLEGAL,FANUC
