alarm_id,category,code,description,message,reaction,remedy,system
1000,NCK,1000,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",System error %1,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens A&D MC, Hotline - Tel 0180 / 5050 - 222 (Germany) - Fax 0180 / 5050 - 223 - Tel +49-180 / 5050 - 222 (International) - Fax +49-180 / 5050 - 223 - email techsupport@ad.siemens.de",Siemens 840D
1001,NCK,1001,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",System error %1,Mode group not ready. Channel not ready. Interface signals are set. Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1002,NCK,1002,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",System error %1,Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1003,NCK,1003,The address (zero pointer) used by the compile cycle manufacturer or by the operating system for selfclearing alarms is not allowed in the system.,Alarm pointer for this self-clearing alarm %1 is zero,Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000) Check setCCAlarm/setAlarm (...) call.",Siemens 840D
1004,NCK,1004,The alarm reaction configured by the operating system or the compile cycles manufacturer is incorrect.,Alarm reaction to NCK alarm incorrectly configured,NC not ready. Channel not ready. Interface signals are set. Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000) Change alarm reaction",Siemens 840D
1005,NCK,1005,This alarm indicates that the operating system has detected a serious error.,Operating system error %1 parameter %2 %3 %4,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1010,NCK,1010,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 system error %2 action %3,NC not ready. Interpreter stop Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1011,NCK,1011,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 %3 %4 system error %2,Interpreter stop NC Start disable in this channel. Interface signals are set. Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1012,NCK,1012,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 system error %2 %3 %4,Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1013,NCK,1013,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 system error %2,Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1014,NCK,1014,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 system error %2,Mode group not ready. Local alarm reaction. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1015,NCK,1015,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error. Especially with parameter %3 (system error number) = 840001 = Problem with tool management, the identification for the axis is not contained in parameter %2, but instead, further information for the diagnostics (= Status of the data management/magazine no./location no./T no.)",Channel %1 axis %2 system error %3,Local alarm reaction. Channel not ready. Interface signals are set. Alarm display.,"Make a note of the full error text and contact Siemens AG A&D MC, Hotline (Phone/Fax: see alarm",Siemens 840D
1016,NCK,1016,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 axis %2 system error %3,Mode group not ready. Local alarm reaction. Channel not ready. Interface signals are set. Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1017,NCK,1017,"With this alarm, internal alarm states are displayed that, in conjunction with the transferred error number, provide information on the cause and location of the error.",Channel %1 axis %2 system error %3,Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1018,NCK,1018,The floating point unit of the processor has found a computational error.,Channel %1: floating point arithmetic error in task %2 station %3 FPU,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm. Alarm reaction delay is cancelled.","Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000) NCK alarms 01/2008",Siemens 840D
1019,NCK,1019,The floating point unit of the processor has triggered an exception on account of a computational error.,Channel %1: floating point arithmetic error at address %3 task %2 FPU,"NC not ready. Mode group not ready, also effective for single axes NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm. Alarm reaction delay is cancelled.","Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1030,NCK,1030,This alarm is not a user error. An internal error has occurred in the software of the link module. Two parameters are output with this error for debugging purposes. They provide information about the cause and location of the error.,System error in link module error code %1 error type %2,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1031,NCK,1031,This alarm is not a user error. - 1. If NCU== 0 -> A parameter not equal to zero was not found - 2. If NCU not equal to zero -> An error which the NC was not able to interpret in the connection to this NCU. The error is output as a number. It is possible that the NCU link module is running a newer software version than the NC. The other parameters are used for error localization in the NC/LINK-MODUL software.,Link module generated an unspecified error %1 NCU %2 %3 %4,NC not ready. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1100,NCK,1100,No memory card or memory card without valid firmware (license) inserted.,No valid firmware,Alarm display.,"Make a note of the error text and contact Siemens AG A&D MC, Hotline (tel./fax: see alarm 1000)",Siemens 840D
1160,NCK,1160,-,Assertion failed in %1: %2,NC not ready. The NC switches to follow-up mode. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm. Alarm reaction delay is cancelled.,Check the cause of the error in the specified software component at the specified line number.,Siemens 840D
2000,NCK,2000,"The PLC must give a sign of life within a defined period of time (machine data 10100 PLC_CYCLIC_TIMEOUT). If this does not occur, the alarm is triggered. The sign of life is a counter reading on the internal NC/PLC interface which the PLC causes to count up with the 10 ms time alarm. The NCK also tests cyclically whether the counter reading has changed.",PLC sign-of-life monitoring,NC not ready. Local alarm reaction. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,,Siemens 840D
2001,NCK,2001,The PLC must give at least 1 sign of life within a period of time defined in MD 10120 PLC_RUNNINGUP_TIMEOUT (Default setting: 1 sec.).,PLC has not started up,NC not ready. Local alarm reaction. Channel not ready. NC Start disable in this channel. Interface signals are set. Alarm display. NC Stop on alarm.,- Please inform the authorized personnel/service department. The monitoring time in in MD 10120 PLC_RUNNINGUP_TIMEOUT must be checked and adapted to the first OB1 cycle. - Establish the cause of error in the PLC (loop or stop in the user program) and eliminate.,Siemens 840D
2100,NCK,2100,The undervoltage monitor of the NCK battery has reached the prewarning threshold. This is at 2.7-2.9 V (nominal voltage of the battery is 3.0-3.1 V at 950 mAh).,NCK battery warning threshold reached,Alarm display.,"Please inform the authorized personnel/service department. The battery must be replaced within the next 6 weeks. After this period, the voltage can drop below the alarm limit of 2.4-2.6 V if the RAMs to be buffered take up a lot of current.",Siemens 840D
